Bill_no.,Status
"('Providing for political party platforms to be placed on ballots for certain primary elections',)"
"('Establishing a tax credit for families who suffer the loss of a stillborn child',)"
"('Relating to political party committees',)"
"('Establishing a tax deduction against corporation net income tax for retail food distributors that donate to school “backpack programs”',)"
"('Relating to the use of medical cannabis',)"
"('Requiring all schools to instruct students on the Holocaust and other genocides',)"
"('Updating meaning of federal adjusted gross income and certain other terms used in West Virginia Personal Income Tax Act',)"
"('Updating the meaning of federal taxable income and certain other terms used in the West Virginia Corporation Net Income Tax Act',)"
"('Increase criminal penalty for killing police/corrections officer in the line of duty.',)"
"('Requiring a judge to approve of contingent fee agreements',)"
"('Implementing trauma-informed practices in schools',)"
"('Relating to “Best Interests of the Child Protection Act of 2021”',)"
"('Permit teachers in K-12 schools be authorized to carry concealed firearms as a designated school protection officer',)"
"('Relating to accessories to a crime',)"
"('Requiring agencies who have approved a proposed rule that affects fees or other special revenues to provide to the committee a fiscal note ',)"
"('Creating the Homeschool Credential Recognition Act',)"
"('Mylissa Smith’s Law, creating patient visitation privileges',)"
"('Provide that you can make monthly payments on property taxes',)"
"('Provide that Public Service Districts cannot charge sewer rates for filling a swimming pool',)"
"('Businesses may not give change in the form of “scrip” without the customer’s consent',)"
"('Allow pre-candidacy papers to be filed the day after the general election',)"
"('Home Based Business Fairness Act',)"
"('Requiring payment of taxes on an owned mobile home to renew motor vehicle registration tags',)"
"('Relating to the State purchasing property around the Mount Storm merchant power plant',)"
"('Allow concealed carry on and in capitol grounds',)"
"('Apply death penalty for first degree murder of law enforcement officer or first responder',)"
"('Providing enhanced criminal penalties for offenses committed against law-enforcement officers or first responders',)"
"('Make criminal invasion of privacy a felony',)"
"('Banning convicted sex offenders from driving taxis, ride share, limousines, and buses',)"
"('Authorizing the suspension or dismissal of school personnel who retaliate against a student or parent who has made a complaint',)"
"('Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to ambient air quality standards',)"
"('Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to standards of performance for new stationary sources',)"
"('Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to control of air pollution from combustion of solid waste',)"
"('Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to control of air pollution from municipal solid waste landfills',)"
"('Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to acid rain provisions and permits',)"
"('Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to emission standards for hazardous air pollutants',)"
"('Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to control of greenhouse gas emissions from existing coal-fired electric utility generating units',)"
"('Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to requirements governing water quality standards',)"
"('Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to hazardous waste management system',)"
"('Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to voluntary remediation and redevelopment rule',)"
"('Authorizing the Department of Commerce to promulgate a legislative rule relating to tourism development districts',)"
"('Authorizing the Division of Labor to promulgate a legislative rule relating to high pressure steam boiler and forced flow steam generator requirements',)"
"(""Authorizing the Office of Miners' Health, Safety, and Training to promulgate a legislative rule relating to rule governing the submission and approval of a comprehensive mine safety program for coal mining operations in the State of West Virginia"",)"
"('Authorizing the Division of Natural Resources to promulgate a legislative rule relating to Cabwaylingo State Forest trail system two year pilot program permitting ATV’s and ORV’s',)"
"('Authorizing the Division of Natural Resources to promulgate a legislative rule relating to defining the terms used in all hunting and trapping',)"
"('Authorizing the Division of Natural Resources to promulgate a legislative rule relating to deer hunting rule',)"
"('Authorizing the Division of Natural Resources to promulgate a legislative rule relating to special migratory game bird hunting',)"
"('Authorizing the Division of Natural Resources to promulgate a legislative rule relating to special waterfowl hunting',)"
"('Authorizing the Department of Transportation to promulgate legislative rules',)"
"('Authorizing the Division of Motor Vehicles to promulgate a legislative rule relating to examination and issuance of driver’s license',)"
"('Authorizing the Division of Motor Vehicles to promulgate a legislative rule relating to denial, suspension, revocation, disqualification, restriction, non-renewal, cancellation, administrative appeals and reinstatement of driving privileges',)"
"('Authorizing the Division of Motor Vehicles to promulgate a legislative rule relating to compulsory motor vehicle liability insurance',)"
"('Authorizing the Division of Motor Vehicles to promulgate a legislative rule relating to special purpose vehicles',)"
"('Authorizing the Alcohol Beverage Control Commission to promulgate a legislative rule relating to private club licensing',)"
"('Authorizing the Alcohol Beverage Control Commission to promulgate a legislative rule relating to distilleries, mini-distilleries, and micro-distilleries',)"
"('Authorizing the Division of Financial Institutions to promulgate a legislative rule relating to rule pertaining to the fintech regulatory sandbox',)"
"('Authorizing the Insurance Commissioner to promulgate a legislative rule relating to fingerprinting requirements for applicants for insurance producer and insurance adjuster license',)"
"('Authorizing the Insurance Commissioner to promulgate a legislative rule relating to insurance adjusters',)"
"('Authorizing the Insurance Commissioner to promulgate a legislative rule relating to credit for reinsurance',)"
"('Authorizing the Insurance Commissioner to promulgate a legislative rule relating to continuing education for individual insurance producers and individual insurance adjusters',)"
"('Authorizing the Insurance Commissioner to promulgate a legislative rule relating to mental health parity',)"
"('Authorizing the Insurance Commissioner to promulgate a legislative rule relating to health benefit plan network access and adequacy',)"
"('Authorizing the Municipal Pensions Oversight Board to promulgate a legislative rule relating to exempt purchasing',)"
"('Authorizing the Racing Commission to promulgate a legislative rule relating to thoroughbred racing',)"
"('Authorizing the Racing Commission to promulgate a legislative rule relating to greyhound racing',)"
"('Authorizing the Racing Commission to promulgate a legislative rule relating to advance deposit account wagering',)"
"('Authorizing the Lottery Commission to promulgate a legislative rule relating to West Virginia lottery interactive wagering rule',)"
"('Authorizing the State Tax Department to promulgate a legislative rule relating to tax credit for providing vehicles to low-income workers',)"
"('Authorizing the State Tax Department to promulgate a legislative rule relating to downstream natural gas manufacturing investment tax credit',)"
"('Authorizing the State Tax Department to promulgate a legislative rule relating to high-wage growth business tax credit',)"
"('Authorizing the Department of Administration to promulgate a legislative rule relating to purchasing',)"
"('Authorizing the State Board of Risk and Insurance Management to promulgate a legislative rule relating to mine subsidence insurance',)"
"('Authorizing the State Board of Risk and Insurance Management to promulgate a legislative rule relating to public entities insurance program',)"
"('Authorizing the State Board of Risk and Insurance Management to promulgate a legislative rule relating to procedures for providing written notification of claims of potential liability to the state or its employees',)"
"('Authorizing the Division of Rehabilitation Services to promulgate a legislative rule relating to Ron Yost Personal Assistance Services Act Board',)"
"('Authorizing the Department of Health and Human Resources to promulgate legislative rules',)"
"('Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to hospital licensure',)"
"('Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to nursing home licensure',)"
"('Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to lead abatement licensing',)"
"('Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to emergency medical services',)"
"('Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to client rights at state-operated mental health facilities',)"
"('Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to delegation of medication administration and health maintenance tasks to approved medication assistive personnel',)"
"('Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to public health standards for businesses remaining open during the COVID-19 outbreak',)"
"('Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to diabetes self-management education',)"
"('Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to West Virginia clearance for access, registry, and employment screening',)"
"('Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to recovery residence certification and accreditation program',)"
"('Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to child placing agencies licensure',)"
"('Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to minimum licensing requirements for residential child care and treatment facilities for children and transitioning adults and vulnerable and transitioning youth group homes and programs in West Virginia',)"
"('Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to procedure to contest the substantiation of child abuse or neglect',)"
"('Authorizing the Health Care Authority to promulgate a legislative rule relating to exemption from certificate of need',)"
"('Authorizing the Fire Commission to promulgate a legislative rule relating to standards for the certification and continuing education of municipal, county, and other public sector building code officials, building code inspectors, and plans examiners',)"
"('Authorizing the Fire Marshal to promulgate a legislative rule relating to standards for the certification and continuing education municipal, county, and other public sector building code officials, building code inspectors, and plans examiners',)"
"('Authorizing the State Emergency Response Commission to promulgate a legislative rule relating to emergency planning and community right to know',)"
"('Authorizing the State Emergency Response Commission to promulgate a legislative rule relating to emergency planning grant program',)"
"('Authorizing the Commissioner of Agriculture to promulgate a legislative rule relating to animal disease control',)"
"('Authorizing the Commissioner of Agriculture to promulgate a legislative rule relating to West Virginia Seed Law',)"
"('Authorizing the Commissioner of Agriculture to promulgate a legislative rule relating to inspection of meat and poultry',)"
"('Authorizing the Commissioner of Agriculture to promulgate a legislative rule relating to poultry litter and manure movement into primary poultry breeder rearing areas',)"
"('Authorizing the Commissioner of Agriculture to promulgate a legislative rule relating to seed certification program',)"
"('Authorizing the Commissioner of Agriculture to promulgate a legislative rule relating to WV exempted dairy farms and milk and milk products processing rules',)"
"('Authorizing the Auditor to promulgate a legislative rule relating to standards for requisitions for payment issued by State Officers on the Auditor',)"
"('Authorizing the Board of Funeral Service Examiners to promulgate a legislative rule relating to funeral director, embalmer, apprentice, courtesy card holders and funeral establishment requirements',)"
"('Authorizing the Board of Funeral Service Examiners to promulgate a legislative rule relating to crematory requirements',)"
"('Authorizing the Board of Funeral Service Examiners to promulgate a legislative rule relating to fee schedule',)"
"('Authorizing the Board of Hearing Aid Dealers to promulgate a legislative rule relating to rule governing the West Virginia Board of Hearing Aid Dealers',)"
"('Authorizing the Board of Landscape Architects to promulgate a legislative rule relating to registration of landscape architects',)"
"('Authorizing the Board of Landscape Architects to promulgate a legislative rule relating to application for waiver of initial licensing fees for certain individuals',)"
"('Authorizing the Livestock Care Standards Board to promulgate a legislative rule relating to livestock care standards',)"
"('Authorizing the Board of Medicine to promulgate a legislative rule relating to registration to practice during declared state of emergency',)"
"('Authorizing the Board of Occupational Therapy to promulgate a legislative rule relating to telehealth practice; requirements, definitions',)"
"('Authorizing the Board of Osteopathic Medicine to promulgate a legislative rule relating to licensing procedures for osteopathic physicians',)"
"('Authorizing the Board of Osteopathic Medicine to promulgate a legislative rule relating to emergency temporary permits to practice during states of emergency or states of preparedness',)"
"('Authorizing the Board of Pharmacy to promulgate a legislative rule relating to licensure and practice of pharmacy',)"
"('Authorizing the Board of Pharmacy to promulgate a legislative rule relating to Uniform Controlled Substances Act',)"
"('Authorizing the Board of Pharmacy to promulgate a legislative rule relating to board of pharmacy rules for continuing education for licensure of pharmacists',)"
"('Authorizing the Board of Pharmacy to promulgate a legislative rule relating to licensure of wholesale drug distributors, third party logistics providers, and manufacturers',)"
"('Authorizing the Board of Pharmacy to promulgate a legislative rule relating to controlled substances monitoring program',)"
"('Authorizing the Board of Pharmacy to promulgate a legislative rule relating to board of pharmacy rules for immunizations administered by pharmacists and pharmacy interns',)"
"('Authorizing the Board of Physical Therapy to promulgate a legislative rule relating to general provisions for physical therapist and physical therapist assistants',)"
"('Authorizing the Board of Physical Therapy to promulgate a legislative rule relating to fees for physical therapist and physical therapist assistants',)"
"('Authorizing the Board of Physical Therapy to promulgate a legislative rule relating to general provisions for athletic trainers',)"
"('Authorizing the Board of Physical Therapy to promulgate a legislative rule relating to fees for athletic trainers',)"
"('Authorizing the Board of Professional Surveyors to promulgate a legislative rule relating to examination and licensing of professional surveyors in West Virginia',)"
"('Authorizing the Real Estate Commission to promulgate a legislative rule relating to licensing real estate brokers, associate brokers, and salespersons and the conduct of brokerage business',)"
"('Authorizing the Board of Respiratory Care to promulgate a legislative rule relating to criteria for licensure',)"
"('Authorizing the Secretary of State to promulgate a legislative rule relating to loan and grant programs under the Help America Vote Act (HAVA) for the purchase of voting equipment, election systems, software, services and upgrades',)"
"('Authorizing the Secretary of State to promulgate a legislative rule relating to guidelines and standards for electronic notarization',)"
"('Authorizing the Bureau of Senior Services to promulgate a legislative rule relating to shared table initiative for senior citizens',)"
"('Relating to state boards of examination or registration',)"
"('Removing and modifying certain requirements for employers relating to wages for construction of public improvements',)"
"('Clarifying that municipalities may enact ordinances for rates, fees, and charges based upon actual use of services',)"
"('Relating to preventing compensatory damage awards for medical expenses from including certain sums',)"
"('Relating to relocation or closure of state higher education institutions',)"
"('Public Participation Protection Act',)"
"('Qualifying not-for-profit private baccalaureate institutions for the Advanced Career Education Programs and the WV Invests Grant Program',)"
"('Creating a Campus Mentors pilot program',)"
"('Relating to an occupational limited license',)"
"('The Genealogical Record Integrity Act of 2020',)"
"('Requiring fifty percent of all reappropriated revenue accounts to be surrendered to general revenue',)"
"('Expanding the eligibility requirements for private investigator and security guard licensure',)"
"('Increasing the penalty for DUI causing death when a child is present',)"
"('Providing valuation limitations for coal property taxation and clarifying the penalties for non-filers',)"
"('Create license plate for autism awareness',)"
"('Relating to the filing of asbestos and silica claims',)"
"('Relating to assessments of real property',)"
"('Eliminate permit needed to hunt trap or fish for veterans who suffer PTSD',)"
"('Ensure State Road Construction Account funds are in addition to general highways funds provided to the DOT districts',)"
"('Tax reduction for arms and ammo manufacturing',)"
"('Create an act for Statewide Uniformity for Auxiliary Container Regulations',)"
"('Suspend School Aid Funding Formula implementation until budget year 2024',)"
"('Specified percent of all “unencumbered” special revenue accounts to be surrendered to general revenue if there has been activity in the account for specified periods',)"
"('Requiring legislative approval of additional parkways bonds and removing tolls once bonds paid\r\n',)"
"('Create a work/incarceration prison pilot program',)"
"('Allow temporary advertising signage within three weeks of an advertised event',)"
"('Establish a max ratio of the number employees of the Dept of Education to the number of students',)"
"('Remove the limitations on advertising and promotional activities by limited video lottery retailers',)"
"('Require all interim appointments to possess the qualifications required by law',)"
"('Make appointment process for Congressional seats the same as that for the US Senate',)"
"('The Parenting Fairness Act of 2021',)"
"('Relating generally to hunting and fishing',)"
"('Relating to operate a home based business',)"
"('Relating generally to repealing certain rules',)"
"('Relating to the Rural Industrial Site Development Act',)"
"('Require regulatory agency heads to have one year experience in the regulated industry',)"
"('Altering the definition of a specialty contractor under the West Virginia Contractor Licensing Act',)"
"('Removing marijuana as a tested substance from the screening requirements',)"
"('Allowing a home improvement transaction to be performed under an oral contract',)"
"('Repealing provision prohibiting employers from discriminating for use of tobacco products',)"
"('Requiring the Human Rights Commission, when investigating a complaint of discrimination, to specifically include an examination of the intent of the person',)"
"('Limiting supervision of laying of lines on state rights-of-way',)"
"('Requiring that patching repair of hard surfaced roads, highways and streets be by use of mechanical rollers',)"
"('Relating to gasoline and fuel excise tax',)"
"('Modifying the definition of child abuse or neglect to exclude accidental injury',)"
"('Requiring all local special elections to be held on the days and hours of general, primary or state-wide elections',)"
"('Defining the term minor boundary adjustment',)"
"('Requiring bail bondsman and bail bond enforcer subject to random drug testing',)"
"('Requiring purchases to be made at lowest retail price available at level of quality sought by the spending unit',)"
"('Prohibiting West Virginia institutions of higher education from discriminating against graduates of private, nonpublic or home schools by requiring them to submit to alternative testing',)"
"(""Clarifying the definition of an employee for the purposes of unemployment compensation and workers' compensation"",)"
"('Prohibiting use of a person’s credit history in certain insurance transactions',)"
"('Requiring the Commissioner of Highways to develop a formula for allocating road funds among districts',)"
"('Providing a tax credit for obtaining certain certifications by the United States Green Building Council Leadership in Energy and Environmental Design green building rating system',)"
"('Authorizing possession and smoking of medical cannabis by approved persons',)"
"('Relating to pyramid promotional schemes',)"
"('Relating to expressions of legislative intent regarding equivalent instruction time',)"
"('Preserving and protecting the right to keep and bear arms',)"
"('Adding “sexual orientation” and “gender identity” to the categories covered by the Human Rights Act',)"
"('Directing the Supreme Court of Appeals to create a pilot domestic violence court in Kanawha County',)"
"('Providing tax credits to provide vehicles to certain persons',)"
"('Requiring seat belts on every new school bus',)"
"('Relating to wages of persons with disabilities',)"
"('Relating to calculation of the school aid formula based on net enrollment',)"
"('Creating the West Virginia Small Business Jumpstart Act',)"
"('West Virginia Religious Freedom Restoration Act',)"
"('Relating to education to children and adults housed in correctional facilities and regional jails',)"
"('Establishing the “Stay in State” tax credit',)"
"('Requiring urban renewal authorities to submit proposed urban renewal projects to the affected local county boards of health',)"
"('Creating the Independent Redistricting Commission of the Joint Committee on Government and Finance',)"
"('Relating to the cultivation of medical cannabis',)"
"('Relating to consumer protection of new manufactured home warranties',)"
"('Removing the one-time limit on the expungement of certain criminal convictions',)"
"('Relating to the juvenile justice reform oversight committee',)"
"('Relating to notice of discontinuance of service by a utility',)"
"('Relating to required courses of instruction',)"
"('Providing an exemption from regulation by the Public Service Commission for motor vehicles used exclusively in the transportation of roll-off solid waste containers',)"
"('Increasing access to contraceptive drugs, devices, and procedures',)"
"('Creating a domestic violence registry',)"
"('Prohibiting the private ownership or operation of a prison',)"
"('Requiring the Public Employees Agency and other health insurance providers to provide mental health parity',)"
"('Relating to cruelty to animals',)"
"('Relating to litter control',)"
"('Requiring certain municipalities to pay for the incarceration of inmates',)"
"('Requiring free feminine hygiene products in grades 6 through 12',)"
"('Increasing the minimum wage based upon increases in the consumer price index',)"
"('Creating a statutory right to petition circuit and family courts for sibling visitation',)"
"('Relating to the financial responsibility of inmates in relation to civil awards',)"
"('Relating to rules for hunting antlered deer',)"
"('Providing compensation to victims of abusive lawsuits',)"
"('Pothole app and map',)"
"('Relating to the theft of consumer identity protections',)"
"('Requiring elections to increase levies have to coincide with a primary or a general election',)"
"('Relating generally to the transparency and accountability of state grants to reduce waste, fraud, and abuse',)"
"('Prohibit employers from requiring employees and prospective employees to have devices implanted or otherwise incorporated into their bodies as a condition of employment',)"
"('Increasing the age limit to 40 for people to test for career fire departments',)"
"('Creating the Virtual Public Schools Act',)"
"('Create the Statewide Online Education Act',)"
"('Create the Multi-Door Courthouse Act',)"
"('Create the Volunteer Immunity and Charitable Organization Liability Limit Act',)"
"('Mandating judgment by a mayor, any individual exercising the mayor’s functions, the police court judge, or municipal judge be obligated to the Model Rules of Judicial Conduct',)"
"('Providing for the valuation of natural resources property and an alternate method of appeal of proposed valuation of natural resources property',)"
"('Relating to creating a third set of conditions for the professional teaching certificate',)"
"('Authorizing student athletes to be compensated for use of their name, image or likeness',)"
"('Prohibiting the home schooling of children in certain circumstances',)"
"('Relating generally to forfeiture of contraband',)"
"('Expanding the amount of promise scholarship funds awarded to persons majoring in science, technology, engineering and mathematics',)"
"('Relating to drug testing of legislators',)"
"('Creating the WV Energy Efficiency Jobs Creation Act',)"
"('Create the Orphan Well Prevention Act of 2021',)"
"('Relating to the West Virginia Employment Law Worker Classification Act',)"
"('Allowing drug courts to establish their own process for accrediting community drug recovery programs in certain cases',)"
"('Require Counties and Municipalities to hold all local elections during statewide elections',)"
"('Amending the standard of proof for awarding damages in civil litigation',)"
"('Creating the Unborn Infants Wrongful Death Act',)"
"('Prohibit “divisive concepts” from schools, state agencies and any groups receiving state funding',)"
"('Increase the State Police Retirement Benefit multiplier ',)"
"('Prohibiting county airport authorities from making or adopting rules prohibiting possession of firearms in public',)"
"('Altering the definition of an above ground storage tank',)"
"('Establish fee Retailers to Pay Wholesalers for purchase of plastic bags',)"
"('Require all public contracts be publicly advertised',)"
"('Allow a person to verify proof of hunting or fishing license electronically by their telephone',)"
"('Require special elections to be held same day as primary or general election',)"
"('Limit number of visitor bureaus that can exist in a county',)"
"('Expand 529 savings plans to include vocational and trade schools',)"
"('Require that a public service district board that represents more than one community have at least one member from each community',)"
"('Award military veterans with a “Veterans” license plate',)"
"('Require all registered voters to produce a photo ID to vote in all public office elections',)"
"('Relating to property taxes dedicated to volunteer fire departments',)"
"('Establish quick response teams to work with drug users who are arrested',)"
"('Prohibiting chairmen of state political parties during or up to one year after the termination of their employment as chairmen of those political parties from registering as lobbyists',)"
"('Establishing the Minority Health Advisory Team',)"
"('Allowing a bar to purchase liquor from a distillery or a mini-distillery',)"
"('Providing that the Jobs Investment Trust Board be part of the Department of Commerce',)"
"('Creating the Office of Quality Assurance and Evaluation for child welfare programs within the Department of Health and Human Resources',)"
"('Relating to the program for drug screening of applicants for cash assistance',)"
"('Amend the reporting to the Governor and the Legislature to have information continuously available on the Office of Health Facility Licensure and Certification’s website',)"
"('An Act to Establish a Cap on Government Red Tape',)"
"('Relating to Good Samaritan Food Donation Act',)"
"('Update the code to reflect that the Health Care Authority is now part of the organizational structure of the Department of Health and Human Resources',)"
"('Relating to a departmental study of the child protective services and foster care workforce',)"
"('Mandating certification for certain members of fire departments, require certain types of training, allow specialized personnel who are not firefighters to be members of a department, and require the postings of fire department evaluations',)"
"('College Graduate Tax Credit',)"
"('Providing a tax credit to encourage new teachers to remain in the state',)"
"('Redirecting a percentage of any surplus to state institutions of higher education to restore their state allocation funding levels',)"
"('Permitting election day registration of voters',)"
"('Relating to discontinuing operation of certain state facilities',)"
"('Continuing the licensed racetrack modernization fund',)"
"('Relating to the removal of the prohibition on having ATMs in the area where racetrack video lottery machines are located',)"
"('Expanding the scope of hunting, fishing, and trapping benefits provided to former members of the United States Armed forces',)"
"('Requiring DEP to reimburse fines paid by towns, villages and communities in certain instances',)"
"('Provide for WVDNR officers to be able to work “off duty”',)"
"('Permitting Commissioner of Highways to make transfers of money within the State Road Fund',)"
"('Creating the 2021 Farm Bill',)"
"('Coverage for the treatment of chronic pain',)"
"('Repealing antiquated provisions relating to gaming activities',)"
"('Establishing a 911 Emergency Services Retirement System',)"
"('West Virginia Residential Incentive Tax Credit Act',)"
"('Granting full time employees of county boards of education three months of paid leave following the birth of a child',)"
"('Workplace Violence Prevention for Health Care and Social Service Workers Act',)"
"('Establishing a tax credit for businesses who hire, promote and develop women and minorities into executive, professional or administrative roles',)"
"('The Young Professional Tax Credits',)"
"('Reentry Task Force',)"
"('Making it a misdemeanor for a person to knowingly allow a felony drug offense to be committed on his or her property',)"
"('West Virginia Innovation Free-Trade Business Technology Property Valuation Act and the West Virginia Innovation Free-Trade Tax Credit Act',)"
"('Establishing a class of employees within the West Virginia Public Employees Retirement System consisting of 911 staff',)"
"('Establishing a special registration plate for recognizing and honoring families affected by Alzheimer’s disease',)"
"('Prohibiting the use of polystyrene containers',)"
"('Authorizing a temporary foreign brewers import license',)"
"('Modifying the tax on soft drinks to only cover sugary drinks',)"
"('Establishing a pilot program to develop school-based mental and behavioral health services',)"
"('Creating a pilot program for expansion of school-based mental health and school-based diversion',)"
"('Modifying the school calendar',)"
"('Providing a tax exemption for income from a qualified retirement plan used to pay for long-term care',)"
"('Relating to rulemaking for healthcare plans',)"
"('Expanding felony hate crime protections to individuals on the basis of perceived or actual sexual orientation',)"
"('Exempting from personal property taxation, vehicles of certain volunteer firefighters',)"
"('Relating to the Antihazing Law',)"
"('Mountaineer Games Sports League',)"
"('Granting jurisdiction to supervise youth sport league events to county boards of education and the Secondary School Activities Commission',)"
"('Creating a policy on vaccine preventable diseases',)"
"('Declaring November 14 every year, a special Memorial Day in remembrance of the Marshall University airplane crash',)"
"('Prohibiting certain devices which enhance a diesel-powered vehicle’s capacity to emit soot',)"
"('Relating to insurance coverage for breast cancer screening',)"
"('Screening for adverse childhood experiences',)"
"('Be Exceptional Starting Today Act',)"
"('Clarifying who may absentee vote',)"
"('To create a cost saving program for state buildings regarding energy efficiency',)"
"('Removing obsolete provisions regarding DOH standards for studded tires and chains',)"
"('Establishing tax credits for lead abatement in child occupied residences',)"
"('Creating a special license plate for aviation',)"
"('Relating to financial exploitation of elderly persons, protected persons or incapacitated adults',)"
"('Relating to posting of safety information in hospitals',)"
"('Exempting Division of Highways from Purchasing Division procedures',)"
"('Relating to the administration of anesthetics',)"
"('Relating to the interest rate for condemnation cases and creating conformity with statutory rates',)"
"('Relating to participation in athletic events exclusively for males and females',)"
"('Relating to increasing the amount of money for which a purchase may be made without obtaining three bids to ten thousand dollars',)"
"('Providing for a limitation on when a hearing or trial may be deemed finally adjudicated when relevant forensic scientific evidence was not able to be presented at the time of trial',)"
"('Relating to cause of action for the spread of a communicable disease',)"
"('Amending the Consumer Credit and Protection Act',)"
"('Authorizing the Insurance Commissioner to transfer moneys from the Insurance Commission Fund into the Workers’ Compensation Old Fund to reduce any deficit balance of the Old Fund',)"
"('Relating to the issuance of license suspensions to insurance producers and insurance adjusters who have failed to meet continuing education requirements',)"
"('Clarifying that the office is responsible to plan for emergency and disaster response, recovery, and resiliency',)"
"('Creating a duty to disclose by owners of property that knew or should have known that crystal methamphetamine production was occurring',)"
"('Relating to state certification of industrial hemp and medical cannabis seed',)"
"('Establish a system to remediate fiscal emergencies of local governments',)"
"('To prohibit minors from dropping out of high school unless they are emancipated',)"
"('Allow county political parties to have building funds in a similar manner that state parties are allowed',)"
"('Granting convicted criminals the right to a retrial if scientific methods used to convict are later determined to be outdated or false',)"
"('To provide that out of school suspensions be considered “excused” absences',)"
"('Tax emption for border cities and counties for gas tax',)"
"('To allow for coverage of addiction telehealth services to out-of-state providers',)"
"('Eliminating the Human Rights Commission',)"
"('Create the 2nd Amendment Preservation Act',)"
"('Consolidate the statutory positions of Director of the Insurance Fraud Unit and Inspector General of the former Workers’ Compensation Commission Fraud and Abuse Unit.  ',)"
"('Creating the fire service equipment and training fund',)"
"('Relating to unlawful discriminatory practices in categories covered by the Human Rights Act and the Fair Housing Act',)"
"('Making it illegal to discriminate based on hair texture or hair style',)"
"('Authorize the Workforce West Virginia to hire additional employees to serve at the Commissioner’s will and pleasure',)"
"('Informing water customers of boiled water advisories',)"
"('Relating to authorizing the Division of Rehabilitation Services to approve acceptable training programs required for low vision individuals to obtain a Class G drivers license ',)"
"('To require all public high school students to complete and submit a free application for federal student aid (FAFSA) prior to graduation',)"
"('Clarify that a temporary permit to practice medicine conveys the same authority unto the holder as a license',)"
"('Creating the “Civic Minded Mountaineer Scholarship.”',)"
"('Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to food establishments',)"
"('Authorizing and permitting the Economic Development Authority to make working capital loans from a revolving loan fund capitalized with federal grant funds including those federal grant funds received from the United States Economic Development Administration',)"
"('Relating to prescriptive authority for advanced practice registered nurses',)"
"('Relating generally to required health insurance coverage for diabetics',)"
"('Providing that the aggregate liability of a surety on a consumer protection bond under the West Virginia Fintech Regulatory Sandbox Program does not exceed the principal sum of the bond',)"
"('Providing counties the power to establish a county sales tax under certain circumstances',)"
"('Permitting persons who are twenty-one years of age or older to operate or be a passenger on a motorcycle without a helmet',)"
"('Modifying the school calendar to begin not earlier than September 1 and end no later than June 7',)"
"('WV 2021 Plan for Securing WV Coal Supplies ',)"
"('Collecting a tax from manufacturers and distributors of opium and opiate drugs to be used for funding addiction and prevention',)"
"('Creating a State Central Legal Advertising Website',)"
"('West Virginia Public Participation Protection Act',)"
"('Assure West Virginians proper access to water and sewage service at reasonable rates',)"
"('Better protect citizens in the event of a car accident with an uninsured motorist',)"
"('Relating to the Division of Motor Vehicles use of electronic means and other alternate means to provide notice',)"
"('Creating a Merit-Based Personnel System within DOT',)"
"('Providing electronic notice of school attendance and satisfactory progress to the Division of Motor Vehicles in lieu of requiring each student to provide a paper notice',)"
"('Prohibiting the use of class B fire-fighting foam for testing purposes if the foam contains a certain class of fluorinated organic chemicals',)"
"('Relating to providing taxpayers a deduction for interest paid on qualified education loans to the extent such amount is not allowable as a deduction when arriving at a taxpayer’s federal adjusted gross income',)"
"('Requesting funding for a raise for State Police ',)"
"('Relating to funding for the DEP Office of Oil and Gas',)"
"('Allowing for the lease of air space above public roads for the safe operation of unmanned aircraft',)"
"('Providing a special license plate for homeland security individuals',)"
"('Require all vaccinations for school attendance be included in the West Virginia code',)"
"('Permit elected officials to carry firearms in the Capitol',)"
"('Relating to persons filing federal bankruptcy petition to exempt certain property of the estate',)"
"('Provide for disclosure of potentially harmful ingredients in menstrual products',)"
"('Establishing a penalty for any vehicle that is not a plug-in hybrid vehicle or plug-in electric vehicle for utilizing a parking space that is designated for charging an electric vehicle',)"
"('Relating to the establishment of a Combat Action Badge and Combat Action Ribbon special registration plates',)"
"('Require all athletes to perform in sport of the sex they were born',)"
