Bill_no.,Status,Doc_name,Doc _url
HB 2289,Pending,Relating to compulsory immunizations,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2289 INTR.pdf
HB 2290,Signed,Initiating a State Employment First Policy to facilitate integrated employment of disabled persons,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2290 SUB.pdf
HB 2291,Pending,"Relating to legalizing cannabis production, sales and adult consumption",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2291 INTR.pdf
HB 2292,Pending,Including three types of cancer for which rebuttable presumption of injury from employment exists for firefighters,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2292 INTR.pdf
HB 2293,Pending,Reestablishing prevailing wages for certain state government contracts,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2293 INTR.pdf
HB 2294,Pending,Removing the requirement for contractors to file payroll information on public improvement construction projects,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2294 INTR.pdf
HB 2295,Pending,"Relating to pecuniary interests of county and district officers, teachers and school officials in contracts",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2295 INTR.pdf
HB 2296,Pending,West Virginia Contractor Licensing Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2296 INTR.pdf
HB 2297,Pending,Limiting the maximum number of appointees to certain county and municipal bodies,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2297 INTR.pdf
HB 2298,Pending,Requiring a warning light to be erected on certain roads to warn of a traffic light ahead,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2298 INTR.pdf
HB 2299,Pending,Clarifying that a vehicle may not be backed into a public street or highway unless it does not interfere with other traffic,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2299 INTR.pdf
HB 2300,Pending,"(""Including Family Court Judges in the Judges' Retirement System"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2300 INTR.pdf
HB 2301,Pending,Repealing the soft drink tax,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2301 INTR.pdf
HB 2302,Pending,Establishing that shared legal and physical custody of a child in cases of divorce is presumed to be in the best interests of the child,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2302 INTR.pdf
HB 2303,Pending,Moving authority for the West Virginia veterans service decoration and West Virginia Service Cross to the Division of Veterans Affairs,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2303 INTR.pdf
HB 2304,Pending,Changing the school aid formula allowances for instructional technology and for AP and dual credit courses,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2304 INTR.pdf
HB 2305,Pending,Creating a tax credit for hiring an ex-felon,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2305 INTR.pdf
HB 2306,Pending,Relating to governmental websites,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2306 INTR.pdf
HB 2307,Pending,Relating to vacancies in the office of county commissioner,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2307 INTR.pdf
HB 2308,Pending,Creating the Business PROMISE+ Scholarship,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2308 INTR.pdf
HB 2309,Pending,Prescribing methods of support for families of veterans to attend funeral services,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2309 INTR.pdf
HB 2310,Pending,Relating to death penalty for first degree murder,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2310 INTR.pdf
HB 2311,Pending,Requiring prescriptions be made by electronic means,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2311 INTR.pdf
HB 2312,Pending,Ensuring that legal or biological parents have equal access to any and all copies of birth registry forms,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2312 INTR.pdf
HB 2313,Pending,Reducing the number of hours of experience needed to qualify as a journeyman sprinkler fitter,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2313 INTR.pdf
HB 2314,Pending,Relating to teacher salary enhancement,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2314 INTR.pdf
HB 2315,Pending,Relating to PROMISE Scholarship Program requirements,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2315 INTR.pdf
HB 2316,Pending,Allowing access to the Department of Environmental Protection’s electronic submission system,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2316 INTR.pdf
HB 2317,Pending,Requiring the Department of Health and Human resources to pay the attorney fees of an adoptive parent in a subsidized adoption,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2317 INTR.pdf
HB 2318,Pending,Repealing the West Virginia Jobs Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2318 INTR.pdf
HB 2319,Pending,Prohibiting the regulation and licensing of occupations by local government,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2319 INTR.pdf
HB 2320,Pending,Relating to mandatory drug testing of all classes of employees in K through 12 schools,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2320 INTR.pdf
HB 2321,Pending,Education Savings Account Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2321 INTR.pdf
HB 2322,Pending,Conforming the state Consumer Credit and Protection Act to the federal Fair Debt Collection and Practices Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2322 INTR.pdf
HB 2323,Pending,Authorizing a special vehicle registration plate for “2nd Amendment” enthusiasts,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2323 INTR.pdf
HB 2324,Pending,Relating to charging fees for municipal services,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2324 INTR.pdf
HB 2325,Pending,Removing the requirement of continuing education for barbers and cosmetologists,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2325 SUB.pdf
HB 2326,Pending,Exempting from licensure as an electrician a person who installs low voltage electrical wiring,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2326 INTR.pdf
HB 2327,Pending,Repealing the law which makes prime contractors liable for the failure of subcontractors to make proper payments for workers’ compensation,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2327 INTR.pdf
HB 2328,Pending,Relating to criminal trespass,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2328 INTR.pdf
HB 2329,Pending,Relating to net metering,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2329 INTR.pdf
HB 2330,Pending,Relating to the Public Service Commission,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2330 INTR.pdf
HB 2331,Pending,Requiring contractors performing work for government contracts on computers use software to verify the hours,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2331 INTR.pdf
HB 2332,Pending,Terminating the State Board of Registration of Foresters,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2332 INTR.pdf
HB 2333,Pending,"Restricting the authority of the Board of Barbers and Cosmetologists to regulate the use of commonly available, retail beauty products",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2333 INTR.pdf
HB 2334,Pending,Requiring certain boards that seek to increase a fee or seek to impose a new fee to also submit cost saving measures,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2334 INTR.pdf
HB 2335,Pending,"Increasing the minimum criminal penalty for a driver who, in an impaired state, causes the death of a minor",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2335 SUB.pdf
HB 2336,Pending,Establishing the Katherine Johnson Academy,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2336 INTR.pdf
HB 2337,Pending,Requiring medical insurance providers to include infertility services in their policies,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2337 INTR.pdf
HB 2338,Pending,Adding pasteurized milk and other dairy foods produced or processed in West Virginia to the list of items required to be purchased by all state-funded institutions,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2338 INTR.pdf
HB 2339,Pending,Applying a stiffer penalty than simple assault or battery for assaults on officials at sporting events,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2339 INTR.pdf
HB 2340,Pending,Require compensation for state police officers when required to be on standby so they can be called back to work if necessary,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2340 INTR.pdf
HB 2341,Pending,Reducing federal adjusted gross income for interest paid on student loans,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2341 INTR.pdf
HB 2342,Pending,Establishing and implementing a program to require bonding sufficient to reclaim abandoned wind generation facilities and solar generation facilities,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2342 INTR.pdf
HB 2343,Pending,Require an emergency contact be placed on driver’s license,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2343 INTR.pdf
HB 2344,Pending,Modify statute relating to Registered Veterinary Technicians,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2344 INTR.pdf
HB 2345,Pending,Requiring each county school board to employ at least one full time school nurse,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2345 INTR.pdf
HB 2346,Pending,Relating to the Medical Cannabis Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2346 INTR.pdf
HB 2347,Pending,Relating to licensure qualifications,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2347 INTR.pdf
HB 2348,Pending,Allowing certain deductions to be made from individual personal income tax refunds to the Make-A-Wish Foundation,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2348 INTR.pdf
HB 2349,Pending,Authorizing a medical power of attorney representative to sign a binding arbitration agreement,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2349 INTR.pdf
HB 2350,Pending,Establishing limits applicable to the award of damages for medical monitoring,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2350 INTR.pdf
HB 2351,Pending,Relating to when a municipality’s approval is not required for an event licensed by the Alcohol Beverage Control Commission,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2351 INTR.pdf
HB 2352,Pending,Providing for political party platforms to be placed on ballots for certain primary elections,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2352 INTR.pdf
HB 2353,Pending,Establishing a tax credit for families who suffer the loss of a stillborn child,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2353 INTR.pdf
HB 2354,Pending,Relating to political party committees,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2354 INTR.pdf
HB 2355,Pending,Establishing a tax deduction against corporation net income tax for retail food distributors that donate to school “backpack programs”,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2355 INTR.pdf
HB 2356,Pending,Relating to the use of medical cannabis,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2356 INTR.pdf
HB 2357,Pending,Requiring all schools to instruct students on the Holocaust and other genocides,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2357 INTR.pdf
HB 2358,Signed,Updating meaning of federal adjusted gross income and certain other terms used in West Virginia Personal Income Tax Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2358 SUB.pdf
HB 2359,Signed,Updating the meaning of federal taxable income and certain other terms used in the West Virginia Corporation Net Income Tax Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2359 INTR.pdf
HB 2360,Pending,Increase criminal penalty for killing police/corrections officer in the line of duty.,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2360 INTR.pdf
HB 2361,Pending,Requiring a judge to approve of contingent fee agreements,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2361 INTR.pdf
HB 2362,Pending,Implementing trauma-informed practices in schools,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2362 SUB.pdf
HB 2363,Signed,Relating to “Best Interests of the Child Protection Act of 2021”,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2363 SUB ENR.pdf
HB 2364,Pending,Permit teachers in K-12 schools be authorized to carry concealed firearms as a designated school protection officer,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2364 INTR.pdf
HB 2365,Pending,Relating to accessories to a crime,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2365 INTR.pdf
HB 2366,Signed,Requiring agencies who have approved a proposed rule that affects fees or other special revenues to provide to the committee a fiscal note ,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2366 INTR.pdf
HB 2367,Pending,Creating the Homeschool Credential Recognition Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2367 INTR.pdf
HB 2368,Signed,"Mylissa Smith’s Law, creating patient visitation privileges",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2368 SUB ENG.pdf
HB 2369,Pending,Provide that you can make monthly payments on property taxes,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2369 INTR.pdf
HB 2370,Signed,Provide that Public Service Districts cannot charge sewer rates for filling a swimming pool,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2370 SUB ENR.pdf
HB 2371,Pending,Businesses may not give change in the form of “scrip” without the customer’s consent,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2371 INTR.pdf
HB 2372,Signed,Allow pre-candidacy papers to be filed the day after the general election,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2372 SUB ENR.pdf
HB 2373,Pending,Home Based Business Fairness Act,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2373 INTR.pdf
HB 2374,Pending,Requiring payment of taxes on an owned mobile home to renew motor vehicle registration tags,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2374 INTR.pdf
HB 2375,Pending,Relating to the State purchasing property around the Mount Storm merchant power plant,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2375 INTR.pdf
HB 2376,Pending,Allow concealed carry on and in capitol grounds,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2376 INTR.pdf
HB 2377,Pending,Apply death penalty for first degree murder of law enforcement officer or first responder,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2377 INTR.pdf
HB 2378,Pending,Providing enhanced criminal penalties for offenses committed against law-enforcement officers or first responders,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2378 INTR.pdf
HB 2379,Pending,Make criminal invasion of privacy a felony,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2379 INTR.pdf
HB 2380,Pending,"Banning convicted sex offenders from driving taxis, ride share, limousines, and buses",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2380 INTR.pdf
HB 2381,Pending,Authorizing the suspension or dismissal of school personnel who retaliate against a student or parent who has made a complaint,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2381 INTR.pdf
HB 2382,Signed,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to ambient air quality standards,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2382 SUB.pdf
HB 2383,Pending,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to standards of performance for new stationary sources,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2383 INTR.pdf
HB 2384,Pending,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to control of air pollution from combustion of solid waste,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2384 INTR.pdf
HB 2385,Pending,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to control of air pollution from municipal solid waste landfills,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2385 INTR.pdf
HB 2386,Pending,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to acid rain provisions and permits,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2386 INTR.pdf
HB 2387,Pending,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to emission standards for hazardous air pollutants,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2387 INTR.pdf
HB 2388,Pending,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to control of greenhouse gas emissions from existing coal-fired electric utility generating units,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2388 INTR.pdf
HB 2389,Pending,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to requirements governing water quality standards,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2389 INTR.pdf
HB 2390,Pending,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to hazardous waste management system,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2390 INTR.pdf
HB 2391,Pending,Authorizing the Department of Environmental Protection to promulgate a legislative rule relating to voluntary remediation and redevelopment rule,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2391 INTR.pdf
HB 2392,Pending,Authorizing the Department of Commerce to promulgate a legislative rule relating to tourism development districts,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2392 INTR.pdf
HB 2393,Pending,Authorizing the Division of Labor to promulgate a legislative rule relating to high pressure steam boiler and forced flow steam generator requirements,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2393 INTR.pdf
HB 2394,Pending,"(""Authorizing the Office of Miners' Health, Safety, and Training to promulgate a legislative rule relating to rule governing the submission and approval of a comprehensive mine safety program for coal mining operations in the State of West Virginia"",)",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2394 INTR.pdf
HB 2395,Pending,Authorizing the Division of Natural Resources to promulgate a legislative rule relating to Cabwaylingo State Forest trail system two year pilot program permitting ATV’s and ORV’s,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2395 INTR.pdf
HB 2396,Pending,Authorizing the Division of Natural Resources to promulgate a legislative rule relating to defining the terms used in all hunting and trapping,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2396 INTR.pdf
HB 2397,Pending,Authorizing the Division of Natural Resources to promulgate a legislative rule relating to deer hunting rule,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2397 INTR.pdf
HB 2398,Pending,Authorizing the Division of Natural Resources to promulgate a legislative rule relating to special migratory game bird hunting,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2398 INTR.pdf
HB 2399,Pending,Authorizing the Division of Natural Resources to promulgate a legislative rule relating to special waterfowl hunting,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2399 INTR.pdf
HB 2400,Signed,Authorizing the Department of Transportation to promulgate legislative rules,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2400 SUB ENR.pdf
HB 2401,Pending,Authorizing the Division of Motor Vehicles to promulgate a legislative rule relating to examination and issuance of driver’s license,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2401 INTR.pdf
HB 2402,Pending,"Authorizing the Division of Motor Vehicles to promulgate a legislative rule relating to denial, suspension, revocation, disqualification, restriction, non-renewal, cancellation, administrative appeals and reinstatement of driving privileges",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2402 INTR.pdf
HB 2403,Pending,Authorizing the Division of Motor Vehicles to promulgate a legislative rule relating to compulsory motor vehicle liability insurance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2403 INTR.pdf
HB 2404,Pending,Authorizing the Division of Motor Vehicles to promulgate a legislative rule relating to special purpose vehicles,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2404 INTR.pdf
HB 2405,Pending,Authorizing the Alcohol Beverage Control Commission to promulgate a legislative rule relating to private club licensing,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2405 INTR.pdf
HB 2406,Pending,"Authorizing the Alcohol Beverage Control Commission to promulgate a legislative rule relating to distilleries, mini-distilleries, and micro-distilleries",https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2406 INTR.pdf
HB 2407,Pending,Authorizing the Division of Financial Institutions to promulgate a legislative rule relating to rule pertaining to the fintech regulatory sandbox,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2407 INTR.pdf
HB 2408,Pending,Authorizing the Insurance Commissioner to promulgate a legislative rule relating to fingerprinting requirements for applicants for insurance producer and insurance adjuster license,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2408 INTR.pdf
HB 2409,Pending,Authorizing the Insurance Commissioner to promulgate a legislative rule relating to insurance adjusters,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2409 INTR.pdf
HB 2410,Pending,Authorizing the Insurance Commissioner to promulgate a legislative rule relating to credit for reinsurance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2410 INTR.pdf
HB 2411,Pending,Authorizing the Insurance Commissioner to promulgate a legislative rule relating to continuing education for individual insurance producers and individual insurance adjusters,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2411 INTR.pdf
HB 2412,Pending,Authorizing the Insurance Commissioner to promulgate a legislative rule relating to mental health parity,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2412 INTR.pdf
HB 2413,Pending,Authorizing the Insurance Commissioner to promulgate a legislative rule relating to health benefit plan network access and adequacy,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2413 INTR.pdf
HB 2414,Pending,Authorizing the Municipal Pensions Oversight Board to promulgate a legislative rule relating to exempt purchasing,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2414 INTR.pdf
HB 2415,Pending,Authorizing the Racing Commission to promulgate a legislative rule relating to thoroughbred racing,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2415 INTR.pdf
HB 2416,Pending,Authorizing the Racing Commission to promulgate a legislative rule relating to greyhound racing,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2416 INTR.pdf
HB 2417,Pending,Authorizing the Racing Commission to promulgate a legislative rule relating to advance deposit account wagering,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2417 INTR.pdf
HB 2418,Pending,Authorizing the Lottery Commission to promulgate a legislative rule relating to West Virginia lottery interactive wagering rule,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2418 INTR.pdf
HB 2419,Pending,Authorizing the State Tax Department to promulgate a legislative rule relating to tax credit for providing vehicles to low-income workers,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2419 INTR.pdf
HB 2420,Pending,Authorizing the State Tax Department to promulgate a legislative rule relating to downstream natural gas manufacturing investment tax credit,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2420 INTR.pdf
HB 2421,Pending,Authorizing the State Tax Department to promulgate a legislative rule relating to high-wage growth business tax credit,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2421 INTR.pdf
HB 2422,Pending,Authorizing the Department of Administration to promulgate a legislative rule relating to purchasing,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2422 INTR.pdf
HB 2423,Pending,Authorizing the State Board of Risk and Insurance Management to promulgate a legislative rule relating to mine subsidence insurance,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2423 INTR.pdf
HB 2424,Pending,Authorizing the State Board of Risk and Insurance Management to promulgate a legislative rule relating to public entities insurance program,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2424 INTR.pdf
HB 2425,Pending,Authorizing the State Board of Risk and Insurance Management to promulgate a legislative rule relating to procedures for providing written notification of claims of potential liability to the state or its employees,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2425 INTR.pdf
HB 2426,Pending,Authorizing the Division of Rehabilitation Services to promulgate a legislative rule relating to Ron Yost Personal Assistance Services Act Board,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2426 INTR.pdf
HB 2427,Signed,Authorizing the Department of Health and Human Resources to promulgate legislative rules,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2427 SUB.pdf
HB 2428,Pending,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to hospital licensure,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2428 INTR.pdf
HB 2429,Pending,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to nursing home licensure,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2429 INTR.pdf
HB 2430,Pending,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to lead abatement licensing,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2430 INTR.pdf
HB 2431,Pending,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to emergency medical services,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2431 INTR.pdf
HB 2432,Pending,Authorizing the Department of Health and Human Resources to promulgate a legislative rule relating to client rights at state-operated mental health facilities,https://www.wvlegislature.gov/Bill_Text_HTML/2021_SESSIONS/RS/bills/HB2432 INTR.pdf
